location,category,tweet,location.1,latitude,longitude,datetime,multimodal,file_path,Disaster_Category,Relevancy,Priority,media_description,summary,responders_required
Hollywood Hills near Runyon Canyon,Distress Call,"Oh god, there's a fire in the Hollywood Hills near Runyon Canyon! I can see flames from my apartment on Mulholland Drive. It's spreading so fast! 😭 Pls send help! #Wildfire #Emergency #LosAngeles",Hollywood Hills near Runyon Canyon,34.118667793738695,-118.34260185065258,2025-01-09 09:42:11.400764,False,,Fire,True,1,,"A wildfire is spreading rapidly in the Hollywood Hills near Runyon Canyon, requiring immediate firefighter assistance.","['firefighters', 'police', 'ambulance']"
Acton,Distress Call,Oh god oh god! Fire's jumped Soledad Canyon Rd near Acton! We're seeing flames from our backyard. Evacuating NOW! This is insane! 😭 #Wildfire #Acton #Emergency PLEASE SEND HELP,Acton,34.49813923335484,-118.11811678472996,2025-01-10 00:43:37.222192,False,,Fire,True,1,,"Wildfire reported near Soledad Canyon Rd in Acton, residents are seeing flames, evacuating, and requesting immediate help.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Roadblock or Escape Issue,"Ugh, seriously?! 🙄 Fire's jumpin' Sunset Blvd in the Palisades! Traffic's already a nightmare, now this?! Can't even get to In-N-Out. #Wildfire #LosAngeles #Stuck #Emergency Pray for the Palisades 🙏",Pacific Palisades,34.039867384478725,-118.53752092382676,2025-02-25 19:13:04.180300,False,,Fire,True,2,,"A wildfire has reportedly jumped Sunset Blvd in the Palisades, causing traffic disruption and requiring potential firefighting and traffic management response.","['firefighters', 'police']"
Altadena/Pasadena,Roadblock or Escape Issue,"OMG! We're trapped! The fire is RIGHT by the Eaton Canyon Golf Course in Pasadena! Can't get out, roads are blocked! Smoke is so thick! 😭 #Wildfire #Emergency #Altadena #Pasadena PLEASE SEND HELP!",Altadena/Pasadena,34.16693010258819,-118.05891989693404,2025-01-28 10:31:46.446077,False,,Fire,True,1,,"Citizen reports being trapped by a wildfire near Eaton Canyon Golf Course in Pasadena with roads blocked and thick smoke, requesting immediate help.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Incident Report,"Oh god oh god! There's a fire, like, RIGHT near Runyon Canyon in the Hollywood Hills! I can see flames from my apartment on Mulholland Drive! It's moving FAST! Is anyone else seeing this?! 😭 #Wildfire #Emergency #LosAngeles PLEASE send help!",Hollywood Hills near Runyon Canyon,34.12905435331187,-118.3497916448918,2025-01-09 09:06:29.488250,False,,Fire,True,1,,"Citizen reports a fast-moving wildfire near Runyon Canyon, visible from Mulholland Drive, requesting immediate assistance.","['firefighters', 'police', 'ambulance']"
North Sepulveda,Roadblock or Escape Issue,ARE YOU KIDDING ME?! Another fire in North Sepulveda?! They're blocking off ALL the roads near Mulholland Drive! How are we supposed to get out?! This is what happens when you let corporations run wild! #Wildfire #Emergency #LosAngeles #ClimateEmergency,North Sepulveda,34.08348942164449,-118.49697303979276,2025-01-23 10:34:52.192265,False,,Fire,True,2,,"A wildfire in North Sepulveda is causing road closures near Mulholland Drive, raising concerns about resident evacuation.","['firefighters', 'police']"
Pacific Palisades,Request for Emergency Help,URGENT: We are receiving reports of increased fire activity near Palisades Drive in Pacific Palisades. Residents in the area should prepare for potential evacuation. Monitor official channels for updates. #Wildfire #Emergency #LosAngeles,Pacific Palisades,34.084623852334374,-118.52306024299249,2025-02-01 00:28:52.526317,False,,Fire,True,2,,Reports of increased fire activity near Palisades Drive in Pacific Palisades indicate potential evacuation.,"['firefighters', 'police', 'ambulance']"
Sylmar,Incident Report,"Yo, HUGE flames near the Sylmar foothills! Like, seriously, is this the end of the world?? 😱 Smells like burnt toast but, like, x1000. #Wildfire #Sylmar #Emergency Someone send help...and maybe pizza? jk...unless? 🍕🔥",Sylmar,34.333739899965686,-118.46076360438768,2025-01-12 17:10:04.494871,False,,Fire,True,2,,"Large wildfire reported in Sylmar foothills, requesting help due to rapidly spreading flames.","['firefighters', 'police', 'ambulance']"
Sylmar,Incident Report,ARE YOU KIDDING ME?! Another fire in Sylmar?! Near the damn reservoir again! They NEVER learn! Years of promises and still no real fire prevention! My family's breathing smoke AGAIN! This is UNACCEPTABLE! #Wildfire #Sylmar #Emergency #LosAngeles #TheyDontCare,Sylmar,34.31243431855373,-118.45335963101073,2025-01-15 17:50:07.601109,False,,Fire,True,3,,"Citizen reports another fire in Sylmar near the reservoir, expressing concern about smoke and lack of fire prevention.","['firefighters', 'police', 'ambulance']"
Altadena/Pasadena,Incident Report,"Huge plumes of smoke near the Eaton Canyon area in Altadena! Looks like a wildfire is kicking up. Winds are strong, pushing it towards the foothills. Be careful out there, neighbors! 🙏 #Wildfire #Altadena #Pasadena #Emergency",Altadena/Pasadena,34.20638252555945,-118.08459941318657,2025-01-26 17:43:47.637570,False,,Fire,True,2,,"Wildfire reported near Eaton Canyon area in Altadena, spreading towards foothills due to strong winds.","['firefighters', 'police', 'ambulance']"
West Hills,Fire Near Key Infrastructure,"Oh my god! 😭 Huge flames spotted near the water treatment plant off Valley Circle in West Hills! This is NOT good! If that goes, we're all in trouble! #Wildfire #Emergency #WestHills Firefighters please hurry!!",West Hills,34.199769750986995,-118.62391998488258,2025-01-10 22:35:52.755927,False,,Fire,True,2,,"Large flames are reported near the water treatment plant in West Hills, indicating a wildfire emergency.","['firefighters', 'police', 'ambulance']"
Altadena/Pasadena,Request for Emergency Help,"OMG! 😭 Huge flames near the hiking trails above Altadena, close to Loma Alta Park! My kids are at a friend's house somewhere near there and I can't reach them! Is anyone evacuating from that area? Pls tell me they're safe! #Wildfire #Altadena #Emergency Los Angeles",Altadena/Pasadena,34.192398570777755,-118.1542228928706,2025-01-29 19:57:42.460603,False,,Fire,True,2,,"Reports of large flames near hiking trails above Altadena, close to Loma Alta Park with concern for children's safety in the vicinity.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Roadblock or Escape Issue,OMG! Trapped on Mulholland Dr near Runyon Canyon! Fire's blocking the road both ways! Can't get down the hill! 😭 Anyone know if there's another way out?! #Wildfire #HollywoodHills #Emergency #LosAngeles,Hollywood Hills near Runyon Canyon,34.11842708365675,-118.35887643798652,2025-01-09 01:01:23.484408,False,,Fire,True,1,,User is trapped on Mulholland Dr near Runyon Canyon due to wildfire blocking roads and requires immediate assistance.,"['firefighters', 'police', 'ambulance']"
Pacific Palisades,Distress Call,Oh my gosh! 😱 I'm visiting from Europe and there's a HUGE fire near those fancy houses in Pacific Palisades! I think it's near Sunset Blvd somewhere? The smoke is awful! Is this normal?? #Wildfire #LosAngeles #Emergency Someone please tell me what to do! 😭,Pacific Palisades,34.05123523525247,-118.53454612811976,2025-01-31 14:14:45.462339,False,,Fire,True,3,,"Tourist reports a large wildfire with heavy smoke in Pacific Palisades, seeking guidance.","['firefighters', 'police', 'ambulance']"
Acton,Incident Report,"Acton lookin' HOT! 🔥 Big fire near Vasquez Rocks, see the smoke from the 14. Wind's pickin' up, hope they get it under control. Heard some folks near Agua Dulce Canyon Rd evacuating. Stay safe out there! #Wildfire #Acton #Emergency",Acton,34.48850688352625,-118.1772460609261,2025-01-09 13:23:05.730954,False,,Fire,True,2,,"Large wildfire reported near Vasquez Rocks, Acton with increasing winds and evacuations reported near Agua Dulce Canyon Rd, requiring prompt attention from first responders.","['firefighters', 'police', 'ambulance']"
